0.18,10,41,5,3,3,13
0.19,11,39,5,3,3,12
0.22,14,37,7,4,3,12
0.21,12,40,8,4,3,13
0.2,11,45,8,4,2,14
0.2,10,48,7,4,2,15
0.19,10,50,8,5,2,16
0.19,11,50,10,5,2,16
0.2,12,50,11,6,3,16
0.2,13,50,13,7,3,16
0.2,16,45,15,8,2,15
0.22,20,39,17,9,3,17
0.24,28,29,22,11,3,22
0.29,34,21,26,13,3,26
0.3,36,17,31,15,3,31
0.31,36,15,33,16,3,33
0.33,37,12,37,18,3,37
0.34,36,11,37,17,3,37
0.33,36,11,39,18,2,39
0.32,36,8,39,18,2,39
0.33,36,7,39,18,2,39
0.32,33,7,38,18,2,38
0.35,33,6,38,18,2,38
0.36,31,6,37,18,2,37
0.43,31,10,38,18,2,38
0.44,31,12,40,19,2,40
0.49,30,4,42,20,2,42
0.45,29,9,43,20,2,43
0.44,31,15,45,21,2,45
0.44,32,22,49,24,2,49
0.46,36,24,55,26,2,53
0.49,39,26,60,29,2,55
0.46,40,28,61,30,2,56
0.41,42,29,62,30,2,56
0.4,45,26,64,31,2,57
0.43,50,20,66,33,2,58
0.5,56,11,70,35,2,60
0.54,59,6,75,39,2,63
0.59,56,5,80,41,2,65
0.59,54,4,80,42,2,65
0.62,51,4,79,42,2,65
0.65,48,4,77,41,2,64
0.68,46,4,74,40,2,62
0.65,43,6,68,37,2,59
0.64,41,6,66,36,2,58
0.58,37,11,62,33,2,56
0.52,37,13,56,30,2,53
0.46,36,16,48,25,2,48
0.5,36,15,46,24,3,46
0.53,37,14,46,24,3,46
0.65,38,11,49,25,3,49
0.71,38,13,52,26,2,51
0.48,33,28,40,19,2,40
0.31,22,45,29,13,2,29
0.22,15,56,21,8,2,21
0.2,13,61,17,7,2,19
0.18,12,65,17,6,2,20
0.18,11,67,15,6,2,21
0.18,14,66,16,6,2,21
0.19,19,58,20,7,2,20
0.29,33,40,27,11,2,27
0.35,39,31,34,14,2,34
0.37,41,28,36,15,2,36
0.44,42,26,36,15,2,36
0.47,44,19,35,15,3,35
0.49,42,17,33,14,3,33
0.43,38,20,30,12,3,30
0.38,38,18,28,11,3,28
0.37,37,18,27,10,3,27
0.36,37,19,25,9,3,25
0.37,36,18,26,9,2,26
0.4,36,16,25,9,2,25
0.36,35,15,22,8,3,22
0.37,35,14,23,8,3,23
0.45,36,12,27,9,2,27
0.43,32,17,30,11,2,30
0.36,28,25,27,10,2,27
0.31,24,33,29,10,2,29
0.29,24,38,28,10,2,28
0.26,23,43,28,11,2,28
0.25,23,47,34,14,2,34
0.27,26,48,43,18,2,43
0.31,33,42,49,21,2,49
0.37,47,28,57,25,2,54
0.46,58,13,68,32,3,59
0.57,62,10,80,39,2,65
0.61,58,11,86,43,3,68
0.66,57,8,93,47,3,72
0.74,54,8,92,47,3,71
0.75,52,7,85,44,3,68
0.69,50,6,77,40,3,64
0.65,48,6,71,37,3,61
0.6,45,7,70,37,2,60
0.56,42,7,67,35,2,59
0.55,42,6,64,34,2,57
0.52,39,6,62,33,2,56
0.51,39,5,62,34,2,56
0.52,38,5,64,35,2,57
0.59,38,5,66,37,2,58
0.6,35,9,70,39,2,60
0.59,37,14,78,43,2,64
0.55,37,23,86,49,3,68
0.54,38,31,95,55,3,75
0.54,42,37,105,63,4,85
0.55,44,42,106,65,4,88
0.55,44,43,107,67,5,90
0.58,48,40,108,68,4,91
0.61,58,27,113,72,3,96
0.74,69,12,124,80,3,106
0.91,75,7,139,88,3,116
0.94,72,6,149,96,2,126
0.97,68,6,155,100,3,131
0.98,65,5,156,102,3,134
0.99,62,5,157,103,3,135
0.99,59,5,148,97,3,128
0.96,56,7,135,88,3,116
0.91,55,4,127,83,2,110
0.78,52,4,119,78,2,104
0.68,47,5,107,70,2,94
0.68,45,6,98,65,2,88
0.65,42,6,90,60,2,81
0.67,41,6,85,56,2,76
0.72,41,5,87,57,2,78
0.78,40,7,91,59,2,80
0.72,41,12,101,65,3,88
0.75,42,16,121,80,3,106
0.97,42,27,143,95,5,125
1.13,42,35,145,100,6,131
1.08,42,39,139,96,7,126
1.12,45,37,136,94,6,124
1.17,49,33,138,96,6,126
1.18,54,25,133,93,5,123
1.26,59,17,137,96,5,126
1.33,60,14,139,97,4,128
1.33,59,13,140,97,4,128
1.33,59,11,141,97,4,128
1.26,57,11,138,94,3,124
1.15,53,14,133,90,3,119
1.08,49,14,127,86,3,114
0.97,43,15,119,80,2,106
0.92,40,15,114,77,2,103
